route_name,route_grade,pitches
Gunsight to South Peak,5.4,2
Critter Crack,5.6,1
Ecstasy,5.7,3
Green Wall,5.7,3
Soler,5.7,3
Pleasant Overhangs,5.7,3
West Pole,5.7,3
Triple S,5.8,2
Climbin' Punishment,5.8,3
Castor,5.10a,1
Pollux,5.10a,2
Madmen Only,5.10a,1
Orangeaid,5.10b,1
Ambush,5.11a,1
Totem,5.11a,3
The Changeling,5.11c,1
Predator,5.12a,1
Nightmare,5.13a,1
